ISO3,Country Name,Area
ALB,Albania,28748
DZA,Algeria,2381741
AND,Andorra,468
AGO,Angola,1246700
ATG,Antigua and Barbuda,442
ARG,Argentina,2780400
ARM,Armenia,29800
AUS,Australia,7741220
AUT,Austria,83858
AZE,Azerbaijan,86600
BHS,Bahamas,13878
BHR,Bahrain,694
BGD,Bangladesh,143998
BRB,Barbados,430
BLR,Belarus,207600
BEL,Belgium,30528
BLZ,Belize,22966
BEN,Benin,112622
BTN,Bhutan,47000
BOL,Bolivia (Plurinational State of),1098581
BIH,Bosnia and Herzegovina,51197
BWA,Botswana,581730
BRA,Brazil,8514877
BRN,Brunei Darussalam,5765
BGR,Bulgaria,110912
BFA,Burkina Faso,274000
BDI,Burundi,27834
KHM,Cambodia,181035
CMR,Cameroon,475442
CAN,Canada,9970610
CPV,Cabo Verde,4033
CAF,Central African Republic,622984
TCD,Chad,1284000
CHL,Chile,756096
CHN,China,9596961
COL,Colombia,1138914
COM,Comoros,2235
COG,Congo,342000
COK,Cook Islands,236
CRI,Costa Rica,51100
