Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,1053,1058,1064,1069,1076,1082,1090,1096,1105,903,798,809,817,810,784,783,787,761,769,903,653,487,467,532,598,769,1033,718,821,1032,1115,1255,1393,1784,2312,2609,2904,3519,4290,4051,4046,4402,4228,4400,4567,3939,4109,4514,5254,5303
Algeria,356,361,469,588,821,937,1039,1194,1457,1780,2198,2233,2205,2308,2427,2580,2724,2706,2400,2204,2397,1764,1817,1840,1500,1459,1600,1616,1592,1585,1761,1751,1784,2103,2610,3113,3479,3951,4924,3883,4481,5456,5592,5500,5493,4178,3946,4110,4154,3976
Andorra,4098,4426,5336,6761,7996,9071,9050,9807,11552,14956,15660,13125,12161,10151,9780,9837,13111,15963,18100,19191,23886,24714,25999,20900,20542,23359,24064,23224,23908,24372,21854,22971,25068,32271,37971,40065,42674,47801,48720,43501,40812,43278,38687,39525,41247,35748,37448,38963,41794,40887
Angola,646,664,657,772,832,591,547,577,622,668,858,774,747,753,768,916,829,922,960,1080,1154,1322,1468,1030,1026,476,606,688,561,519,745,705,872,983,1256,1902,2600,3122,4081,3123,3588,4615,5100,5255,5408,4167,3506,4096,3290,2671
Antigua and Barbuda,528,639,880,1231,1323,1363,1138,1300,1475,1819,2173,2461,2728,3031,3430,3962,4703,5463,6453,7076,7348,7602,7744,8136,8771,8407,9031,9492,9940,10261,10871,10367,10401,10799,11449,12557,13998,15623,16044,14160,13049,12746,13272,12910,13502,14286,15198,15383,16673,17113
Argentina,1423,1676,1554,1722,1906,1997,2083,2313,2356,2691,2931,2987,3023,3218,3347,3162,3737,3781,4342,2583,4696,6215,7394,7553,8118,8031,8371,8905,8988,8430,8358,7816,2935,3687,4311,5158,5966,7302,9123,8309,10429,12830,13925,14535,13299,14971,12814,14628,11719,10041
Armenia,,,,,,,,,,,,,,,,,,,,,651,600,364,348,383,426,538,558,649,637,664,741,835,992,1271,1753,2301,3348,4277,3193,3432,3760,3682,3838,3986,3607,3592,3915,4221,4623
Australia,3529,3867,4479,6379,7507,7911,8425,8255,9526,10425,11875,13656,12809,12651,13370,11603,11998,14014,17454,19107,19076,19144,18712,17992,20316,21736,23890,23738,20960,22704,21524,20324,22430,28456,34122,37710,39863,47099,49550,46657,58654,68626,69451,66361,62062,52131,53997,57629,58597,54763
Austria,2045,2365,2910,3880,4614,5245,5622,6750,8135,9706,10783,9341,9375,9485,8937,9112,12988,16254,17409,17316,21552,22359,24910,24122,25612,30169,29592,26489,27143,26975,24389,24369,26233,32007,36622,38282,40551,46751,51586,47792,46599,50999,48155,50264,51304,43995,45222,47306,51184,49701
Azerbaijan,,,,,,,,,,,,,,,,,,,,,900,909,709,550,445,396,404,500,557,569,649,696,753,870,1027,1551,2431,3788,5538,4963,5857,7211,7521,7902,7915,5516,3889,4151,4735,4782
Bahamas,4505,4546,4779,5357,6370,5829,6288,6535,7454,8858,10397,10535,11600,12630,13205,14095,14954,16176,16534,18321,18607,17951,17601,17178,17791,18433,20644,22037,23514,26130,27098,27486,28867,28327,28396,30278,30714,31472,30627,28552,28444,28006,29486,28783,29980,31295,31563,32719,33768,34864
Bahrain,1985,2065,2512,3425,4459,4444,6007,7071,7570,8518,10460,11359,11575,11545,11753,10669,8629,8465,8971,9309,9899,10196,10385,11090,11664,12040,12199,12296,11403,11912,13636,12868,13050,14222,15847,17959,19308,20977,23067,19356,20722,22514,23654,24744,24989,22689,22632,23743,23991,23504
Bangladesh,96,85,93,100,118,121,132,135,169,190,210,208,184,183,209,211,217,240,253,268,273,285,284,287,299,329,338,343,348,358,356,349,356,383,408,414,497,560,635,700,776,827,854,1005,1120,1245,1395,1538,1671,1846
Barbados,912,1021,1161,1407,1672,1953,2107,2384,2654,3204,4095,4491,4678,4952,5383,5617,6147,6745,7147,7874,7874,7782,7494,7875,8247,8637,9172,9653,10838,11310,11609,11549,11706,12055,12891,14242,15199,16771,17092,15886,16056,16459,16250,16452,16488,16525,16900,17392,17746,18149
Belarus,,,,,,,,,,,,,,,,,,,,,1919,1955,1807,1714,1550,1421,1492,1456,1578,1264,1091,1302,1548,1904,2488,3266,4015,4937,6644,5393,6075,6560,6975,8015,8356,5981,5052,5791,6351,6674
Belgium,2773,3086,3839,4912,5749,6721,7260,8438,10293,11804,12852,10599,9312,8808,8414,8699,12088,15026,16297,16455,20520,20968,23297,22208,24113,28276,27350,24717,25253,25173,22973,22923,24812,30461,35167,36557,38410,43963,47802,44320,43968,47453,44760,46767,47649,40942,41899,44020,47355,46198
Belize,228,284,362,579,760,868,674,855,963,1107,1496,1448,1310,1343,1456,1405,1488,1756,1948,2192,2394,2507,2667,2833,2880,2996,3002,2953,2992,3066,3364,3404,3526,3650,3802,3883,4154,4252,4404,4187,4271,4423,4506,4569,4706,4776,4818,4888,4885,4815
Benin,111,115,138,166,174,206,214,229,271,321,399,368,349,293,273,264,328,372,374,337,400,392,428,419,284,397,419,390,410,404,374,379,419,519,583,602,626,706,820,793,758,877,940,1088,1181,1076,1087,1137,1242,1220
Bhutan,208,216,221,241,275,249,246,263,245,266,316,346,355,388,372,371,426,496,519,487,515,436,439,415,488,541,564,646,639,695,743,789,872,991,1100,1262,1366,1799,1874,1865,2313,2625,2599,2532,2652,2753,2931,3287,3243,3361
Bolivia (Plurinational State of),225,239,273,271,439,480,538,528,565,599,631,682,679,661,667,667,650,669,699,702,709,762,788,784,801,881,951,999,1049,1003,998,949,904,908,967,1034,1219,1373,1715,1754,1955,2346,2610,2908,3082,3036,3077,3351,3549,3552
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,1737,1400,1118,890,716,531,751,1038,1161,1283,1518,1583,1834,2316,2766,2981,3417,4193,5091,4715,4635,5092,4779,5132,5330,4727,4995,5395,6072,6109
Botswana,106,136,172,246,330,370,386,478,548,687,949,1047,886,930,940,783,1007,1335,1490,2427,2892,2916,2984,2918,2970,3220,3222,3259,3040,3406,3522,3278,3191,4331,5074,5520,5516,5833,5714,5256,6435,7617,7070,7225,7781,6800,7244,7893,8280,7961
